Week,Revenue
2009-12-06,267053.53
2009-12-13,241631.47
2009-12-20,261738.39
2009-12-27,55262.37
2010-01-03,0.0
2010-01-10,168520.11
2010-01-17,163999.72
2010-01-24,154221.301
2010-01-31,165967.371
2010-02-07,125037.642
2010-02-14,91110.61
2010-02-21,175148.652
2010-02-28,162416.402
2010-03-07,166425.13
2010-03-14,142176.34
2010-03-21,190300.321
2010-03-28,206384.23
2010-04-04,159107.26
2010-04-11,138649.69
2010-04-18,153734.501
2010-04-25,180978.49
2010-05-02,189710.991
2010-05-09,164442.24
2010-05-16,171619.31
2010-05-23,150996.95
2010-05-30,160432.53
2010-06-06,108579.82
2010-06-13,220415.75
2010-06-20,172392.97
2010-06-27,127041.53
2010-07-04,181541.81
2010-07-11,154082.18
2010-07-18,159283.44
2010-07-25,148014.78
2010-08-01,162355.09
2010-08-08,131419.35
2010-08-15,180134.32
2010-08-22,169884.73
2010-08-29,149147.75
2010-09-05,145481.68
2010-09-12,133120.36
2010-09-19,179573.591
2010-09-26,246229.42
2010-10-03,333403.36
2010-10-10,293194.54
2010-10-17,327279.47
2010-10-24,246809.32
2010-10-31,220689.65
2010-11-07,288871.07
2010-11-14,382123.581
2010-11-21,355559.841
2010-11-28,304424.85
2010-12-05,510148.8
2010-12-12,583361.63
2010-12-19,216012.2
2010-12-26,92369.3
2011-01-02,0.0
2011-01-09,133658.19
2011-01-16,193362.04
2011-01-23,215533.18000000002
2011-01-30,125170.79
2011-02-06,125990.68000000001
2011-02-13,107080.7
2011-02-20,143734.46
2011-02-27,148710.78
2011-03-06,132717.55
2011-03-13,135220.53
2011-03-20,161691.62
2011-03-27,149655.47
2011-04-03,192720.48
2011-04-10,134483.88
2011-04-17,149571.681
2011-04-24,141650.98
2011-05-01,86465.08
2011-05-08,146941.6
2011-05-15,211984.26
2011-05-22,215835.32
2011-05-29,166087.12
2011-06-05,118688.68
2011-06-12,220151.72
2011-06-19,190132.24
2011-06-26,135972.61
2011-07-03,139216.16
2011-07-10,177320.48
2011-07-17,137142.63
2011-07-24,202365.54
2011-07-31,182685.091
2011-08-07,170702.36
2011-08-14,190233.13999999998
2011-08-21,176016.97
2011-08-28,164939.43
2011-09-04,154058.24
2011-09-11,192703.67
2011-09-18,230137.26
2011-09-25,338771.791
2011-10-02,211800.221
2011-10-09,319987.39
2011-10-16,228776.18
2011-10-23,276656.42
2011-10-30,260555.63
2011-11-06,301897.83
2011-11-13,370044.97000000003
2011-11-20,388622.44
2011-11-27,316412.16
2011-12-04,324370.83
2011-12-11,504327.93
